ENTRY_TIME,EXIT_TIME,VEHICLE_ID,GATE_NO
2024-05-30 13:27:13,2024-05-30 17:23:39,UP85BS9912,1
2024-05-30 13:25:01,2024-05-30 18:21:05,OD02BA2243,1
2024-05-30 13:23:55,NULL,O005V5570,1
2024-05-30 13:19:38,2024-05-30 13:02:06,OD05AR3931,1
2024-05-30 13:17:58,NULL,OD0D05BR62,1
2024-05-30 13:17:14,NULL,D02CS0529,1
2024-05-30 13:14:24,2024-05-30 15:27:57,OD33AE0036,1
2024-05-30 13:09:13,NULL,OD2106136,1
2024-05-30 13:08:51,NULL,OD02CK1269,1
2024-05-30 13:06:46,2024-05-30 15:35:45,OD05BG1878,1
2024-05-30 13:05:23,NULL,OD02BW9241,1
2024-05-30 13:04:16,NULL,O021N3810,1
2024-05-30 13:03:19,2024-05-30 17:07:34,22BH5023D,1
2024-05-30 13:03:13,2024-05-30 17:05:04,OD21K0039,1
2024-05-30 13:02:43,NULL,60D011914,1
2024-05-30 13:01:59,NULL,P57150D05AA,1
2024-05-30 13:01:21,NULL,OD01GD1914,1
2024-05-30 13:00:44,2024-05-30 18:25:59,22BH4390D,1
2024-05-30 12:55:17,NULL,OD05P33138,1
2024-05-30 12:54:46,NULL,OD21DJ388,1
2024-05-30 12:53:57,2024-05-30 14:11:34,OD02BB0737,1
2024-05-30 12:53:53,2024-05-30 17:20:22,PB13BD0557,1
2024-05-30 12:51:27,NULL,WB30K1848,1
2024-05-30 12:49:58,2024-05-30 12:41:28,OD05W4703,1
2024-05-30 12:46:26,NULL,O821E1922,1
2024-05-30 12:46:01,NULL,O0058C6525,1
2024-05-30 12:44:33,NULL,OD054J0310,1
2024-05-30 12:44:32,2024-05-30 14:53:18,OD05AJ0310,1
2024-05-30 12:44:11,NULL,OD21L7276,1
2024-05-30 12:43:25,2024-05-30 11:26:55,OD05K1147,1
2024-05-30 12:35:00,NULL,OR05AH1124,1
2024-05-30 12:34:26,2024-05-30 12:06:46,OD05BM7480,1
2024-05-30 12:30:15,2024-05-30 12:48:28,OD05BP3524,1
2024-05-30 12:28:24,2024-05-30 16:13:48,OD02BE3809,1
2024-05-30 12:28:17,2024-05-30 18:33:27,OD05BM7797,1
2024-05-30 12:28:13,2024-05-30 17:02:41,OD05BB0072,1
2024-05-30 12:28:11,NULL,OD05B80072,1
2024-05-30 12:24:20,2024-05-30 18:13:14,OD05AR1289,1
2024-05-30 12:21:23,NULL,6005417580,1
2024-05-30 12:20:32,2024-05-30 21:38:25,OD05AQ9274,1
2024-05-30 12:19:00,NULL,JH09AZ6879,1
2024-05-30 12:18:43,NULL,B2404BQ8545,1
2024-05-30 12:12:30,2024-05-30 13:15:02,OD05BM5131,1
2024-05-30 12:10:53,NULL,AP37TH2970,1
